serial_no;title;status;fund_perc;category;place;last_updated;company;websites;project_link;description
36;GradePilot;57;left;Software;San Antonio, TX;;John Carreras;['https://www.gradepilotapp.com/'];https://www.kickstarter.com/projects/713553301/gradepilot?ref=discovery_category_newest&total_hits=335&category_id=51;GradePilot simplifies academic success with real-time grade tracking, GPA calculations, and AI-powered study plans for smarter learning
37;Agribuyn marketplace for agricolture;57;left;Apps;Reggio nell'Emilia, Italy;;Samuel;['https://www.agribuyn.it/'];https://www.kickstarter.com/projects/samunozzo/agribuyn-marketplace-for-agricolture?ref=discovery_category_newest&total_hits=335&category_id=332;Agribuyn is an innovative project born with the intent to create a B2C marketplace dedicated to the direct connection between consumers
38;Tee Time App;39;left;Apps;Portland, ME;;Dustin Ward;['https://www.itisteetime.com/'];https://www.kickstarter.com/projects/1194111863/tee-time-app?ref=discovery_category_newest&total_hits=335&category_id=332;Tee Time aims to enhance equity and inclusion through the game of golf through our connective app. Connect. Tee Up. Play Golf.
39;Technology and Dance;42;left;Web;New York, NY;;Adrian Garcia;[];https://www.kickstarter.com/projects/amerie/technology-and-dance?ref=discovery_category_newest&total_hits=335&category_id=342;an online marketplace for dance schools and instructors worldwide and dance event creator.
40;Song Surge: The Future of Real Music Promotion;27;left;Web;Miami, FL;;Nicolas;['https://songsurge.io/'];https://www.kickstarter.com/projects/songsurge/song-surge-the-future-of-real-music-promotion?ref=discovery_category_newest&total_hits=335&category_id=342;A Game-Changing Ad Tool for Musicians, Labels & Agencies – No Bots, No Playlists, Just Real Fans.
41;Pet Q;56;left;Wearables;Huntsville, AL;;John Wynn;['https://strive-to-always-reach-success.square.site/'];https://www.kickstarter.com/projects/1503909513/pet-q?ref=discovery_category_newest&total_hits=335&category_id=341;“The Pet Q: A smart, secure, and comfortable pet collar with an etched QR code for instant ID. No chips, no tags—just peace of mind.
42;Love Letter Messaging System;27;left;Gadgets;Boston, MA;;Owen O'Brien;['https://www.youtube.com/@owenobrien8804', 'https://www.linkedin.com/in/owen-o%E2%80%99brien-a57150260/'];https://www.kickstarter.com/projects/love-letter/love-letter-messaging-system?ref=discovery_category_newest&total_hits=335&category_id=337;A simple and cute way to send messages to loved ones anywhere in the world!
43;DailySync Your Life, Your Day, Organized AF;56;left;Apps;Gainesville, FL;;Stephen Miller;[];https://www.kickstarter.com/projects/dailysync/dailysync-your-life-your-day-organized-af?ref=discovery_category_newest&total_hits=335&category_id=332;Connecting your tasks, events, and social life in one seamless experience.
44;The Complete DeepSeek AI Profit Online Course Mega Bundle+;6;left;Technology;Vancouver, Canada;;Mammoth Interactive;['http://mammothinteractive.com/', 'https://www.linkedin.com/in/johnbura/', 'https://twitter.com/mammothcompany', 'http://devonianapps.com/', 'https://training.mammothinteractive.com/', 'https://www.youtube.com/c/MammothInteractive?sub_confirmation=1'];https://www.kickstarter.com/projects/johnbura/the-complete-deepseek-ai-profit-online-course-mega-bundle?ref=discovery_category_newest&total_hits=335&category_id=16;Master DeepSeek AI and maximize your profits with this all-in-one course bundle. Learn, grow, and scale with AI-driven success!
45;Mended: Mental Health Social Network;26;left;Apps;Orlando, FL;;Richy Perez;['https://www.linkedin.com/in/perezfamily?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app'];https://www.kickstarter.com/projects/mended/mended-mental-health-social-network?ref=discovery_category_newest&total_hits=335&category_id=332;We are not like TikTok, we are not like Instagram, we are not like Facebook. We are MENDED.
46;Plica-1: The Laptop 3D Printer;27;left;3D Printing;London, UK;;Tangibl;[];https://www.kickstarter.com/projects/67531548/plica-1-the-laptop-3d-printer?ref=discovery_category_newest&total_hits=335&category_id=331;A foldable, portable, battery powered 3D printer. For the makers who want to print anywhere.
47;DIY 3D Printer Tower Enclosure Kit;26;left;3D Printing;Lipiany, Poland;;Oskar Kowalski;[];https://www.kickstarter.com/projects/3de/diy-3d-printer-tower-enclosure-kit?ref=discovery_category_newest&total_hits=335&category_id=331;Complete Design Files, 2D Drawings, and BOM for a Steel & Acrylic Tower Enclosure
48;TurboFix;55;left;DIY Electronics;Ljubljana, Slovenia;;TurboFix;['https://www.turbofix.shop/'];https://www.kickstarter.com/projects/turbofix/turbofix?ref=discovery_category_newest&total_hits=335&category_id=334;Introducing TURBOFIX, adhesive engineered for unmatched bonding power and speed.
49;"ScriptToon: AI-Powered Animation for Everyone""";55;left;Apps;Jersey City, NJ;;Omar Griffin;[];https://www.kickstarter.com/projects/scripttoon/scripttoon-ai-powered-animation-for-everyone?ref=discovery_category_newest&total_hits=335&category_id=332;Create professional animated videos with AI-driven tools and customizable characters, requiring no technical skills. Ideal for creators
50;BoardAISensei;25;left;Apps;Catania, Italy;;AmonAzhelart;[];https://www.kickstarter.com/projects/amonazhelart/boardaisensei?ref=discovery_category_newest&total_hits=335&category_id=332;Your Sensei for seamless gameplay and doubt-free victories.
51;BiznBuz: Local Deals, Online Blood Bank & Bus Tracking;55;left;Apps;Bangalore, India;;Nithin Narayanan;['https://bizandbuz.com/'];https://www.kickstarter.com/projects/biznbuz/biznbuz-local-deals-online-blood-bank-and-bus-tracking?ref=discovery_category_newest&total_hits=335&category_id=332;Discover local promotions, hyperlocation based blood bank, and track public transport in real-time—all in one app!
52;SSHakra.ai - Server Management AI;25;left;Web;Victoria, Canada;;Interdatum Systems;['https://interdatum.tech/'];https://www.kickstarter.com/projects/sshakra/sshakraai-server-management-ai?ref=discovery_category_newest&total_hits=335&category_id=342;Server management is no longer painful. Interact with your server in plain English and skip the jargon with SSHakra.ai
53;Registro Libretas App;43;left;Software;San Lucas, Mexico;;Victor Jesus  Amador Rosas;[];https://www.kickstarter.com/projects/462657839/registro-libretas-app?ref=discovery_category_newest&total_hits=335&category_id=51;Una herramienta digital para facilitar la gestión de asistencia, calificaciones y registros escolares, diseñada para docentes.
54;Arti's Lab;25;left;Software;Fort Collins, CO;;Monroe Gordon;['https://www.artisconnectome.com/', 'https://github.com/Arti-s-Connectome', 'https://x.com/ArtisConnectome'];https://www.kickstarter.com/projects/monroegordon/artis-lab?ref=discovery_category_newest&total_hits=335&category_id=51;NI (neuromimetic intelligence) research and development app where we build and test realistic neural networks for use in future apps.
55;The Scaredy Campfire App (Updated);24;left;Apps;Pittsburgh, PA;;Zack;[];https://www.kickstarter.com/projects/zackzack/the-scaredy-campfire-app-updated?ref=discovery_category_newest&total_hits=335&category_id=332;An app for paranormal enthusiasts. It will also function as a map where users can post and view paranormal encounters globally.
56;Comet: Thunderbolt 5 Portable SSD Drive;24;left;Hardware;Shenzhen, China;;Comet;[];https://www.kickstarter.com/projects/cometdrive/comet-thunderbolt-5-portable-ssd-drive?ref=discovery_category_newest&total_hits=335&category_id=52;TB5 | Extra Small | Extra Light | R: 7000MB/s & W: 3300MB/s | Huge Compacity | Water - Dust - Drop - Proof | Low Heat Operation | EDC
57;Mango Audio CS50 Speaker;54;left;Sound;San Jose, CA;;Mango Audio;[];https://www.kickstarter.com/projects/mangoaudio/mango-audio-cs50?ref=discovery_category_newest&total_hits=335&category_id=339;Mango Audio CS50 implements a Hi-Fi sound system.
