serial_no;title;status;fund_perc;category;place;last_updated;company;websites;project_link;description
57;Solderdoodle Plus | Cordless USB Rechargeable Hot Multi Tool;Ended;262%;Fabrication Tools;Portland, OR;March 21, 2022;Isaac Porras;['http://www.solarcyclepower.com/', 'http://www.solderdoodle.com/'];https://www.kickstarter.com/projects/249225636/solderdoodle-plus-cordless-usb-rechargeable-hot-mu-0;Replace your corded soldering iron! Soldering, 3D print finishing, cutting, and wood burning attachments included!
58;Automate anything with 'Super Gerbil' CNC Gcode Controller;Ended;102%;Fabrication Tools;Sydney, AU;April 10, 2019;Paul de Groot;['http://awesome.tech/', 'http://makerfaire.com/maker/entry/59915/', 'http://hackaday.com/2017/06/10/drop-in-controller-for-ebay-k40-laser-engraver-gets-results/', 'https://diyodemag.com/features/precision_laser_controller_upgrade', 'https://au.pinterest.com/pauljacobdegroo/laser/', 'https://www.facebook.com/paul.degroot.7165', 'https://www.linkedin.com/in/pauldegroot/'];https://www.kickstarter.com/projects/2118335444/automate-anything-with-super-gerbil-cnc-gcode-cont;The Super Gerbil CNC controller allows smooth and precise control of your laser, lathe, CNC mill, plasma cutter, water jet, etc.
59;Affordable desktop injection moulding machine!;Ended;113%;Fabrication Tools;Norwich, UK;January 10, 2019;Samuel Thompson;[];https://www.kickstarter.com/projects/1548435736/affordable-desktop-injection-moulding-machine;Following the success of our pilot model and feedback, this is the prototype of our new & improved desktop injection moulding machine!
60;Beambox, The Accessible Laser Cutter And Engraver;Ended;1139%;Fabrication Tools;Taipei City, Taiwan;February 13, 2019;FLUX Technology LLC;['http://flux3dp.com/'];https://www.kickstarter.com/projects/flux-inc/beambox-the-accessible-laser-cutter-and-engraver;Beambox shapes materials including wood, leather, acrylic, and more. It is the tool you’ve been waiting for to free your inner artist.
61;The First Handheld Sound Camera for Everyone;Ended;555%;Fabrication Tools;Gutersloh, Germany;February 19, 2019;SOUNDCAM;['https://www.cae-systems.de/en/', 'https://twitter.com/Acoustic_Camera', 'https://www.facebook.com/AkustischeKamera/'];https://www.kickstarter.com/projects/351002836/the-first-handheld-sound-camera-for-everyone;Experience seeing sound. This camera images sound sources - it's like having six senses. Experience what it can do for you!
62;SwissMak - The Mill Turn Center for your machine shop;Ended;157%;Fabrication Tools;Fort Collins, CO;September 24, 2019;Overlord Robotics Corporation;['https://www.facebook.com/OverlordRobotics/', 'https://www.youtube.com/channel/UC5v-vgAub4M3Ksw1k0oAfQQ/featured?view_as=subscriber'];https://www.kickstarter.com/projects/1260359869/swissmak-the-mill-turn-center-for-your-machine-sho;A modular, heavy duty Swiss mill-turn machining center for cutting metal. The ultimate prototyping machine.
63;Bow-Shackle Pen + Fisher Space Cartridge;Ended;6277%;Fabrication Tools;Boston, MA;January 28, 2021;Oceanus Brass;['https://www.instagram.com/oceanus_brass/', 'https://twitter.com/oceanus_brass', 'http://www.oceanusbrass.com/'];https://www.kickstarter.com/projects/oceanusbrass/bow-shackle-pen-fisher-space-cartridge;Nautically inspired, built to last.
64;CryptoHex - Backup your Cryptocurrency;Ended;238%;Fabrication Tools;Copenhagen, Denmark;January 24, 2019;Nicolas, Dane and Kåre;['http://www.northernlayers.com/', 'https://cryptoship.dk/', 'http://www.prytoc.com/'];https://www.kickstarter.com/projects/northernlayers/cryptohex-backup-your-cryptocurrency;CryptoHex, a stainless steel rod as an “external backup” for LEDGER and TREZOR, or any other BIP39 HD wallet that stores Crypto
65;Desktop CNC FoamCutter XY4040;Ended;3604%;Fabrication Tools;Nuneaton, UK;September 18, 2018;Artur;[];https://www.kickstarter.com/projects/designandbuildcnc/desktop-cnc-foamcutter-xy4040;"Cut out your designs from Styrofoam or other Polymer based Foam 
Sponge."
66;Ghost Pepper Desktop CNC;Ended;286%;Fabrication Tools;Keller, TX;January 10, 2018;Robert Adrian;[];https://www.kickstarter.com/projects/464299954/ghost-pepper-desktop-cnc;We are building a true desktop CNC that wont break the bank.  Furniture grade cabinet, pro features, open source!
